"CIRCOSCRIZIONE";"COLLPLURINOM";"LISTA";"TOTVOTI";"SEGGILISTA"
"LAZIO 1";"LAZIO 1 - 02";"CIVICA POPOLARE LORENZIN";2768,00;
"LAZIO 1";"LAZIO 1 - 02";"LIBERI E UGUALI";33367,00;1,00
"LAZIO 1";"LAZIO 1 - 02";"POTERE AL POPOLO!";13504,00;
"LAZIO 1";"LAZIO 1 - 02";"CASAPOUND ITALIA";10564,00;
"LAZIO 1";"LAZIO 1 - 02";"IL POPOLO DELLA FAMIGLIA";4129,00;
"LAZIO 1";"LAZIO 1 - 02";"ITALIA AGLI ITALIANI";2110,00;
"LAZIO 1";"LAZIO 1 - 02";"PARTITO COMUNISTA";3919,00;
"LAZIO 1";"LAZIO 1 - 02";"10 VOLTE MEGLIO";1451,00;
"LAZIO 1";"LAZIO 1 - 02";"PER UNA SINISTRA RIVOLUZIONARIA";691,00;
"LAZIO 1";"LAZIO 1 - 02";"LISTA DEL POPOLO PER LA COSTITUZIONE";892,00;
"LAZIO 1";"LAZIO 1 - 02";"BLOCCO NAZIONALE PER LE LIBERTA'";361,00;
"LAZIO 1";"LAZIO 1 - 03";"LEGA";88736,00;1,00
"LAZIO 1";"LAZIO 1 - 03";"FORZA ITALIA";82429,00;1,00
"LAZIO 1";"LAZIO 1 - 03";"FRATELLI D'ITALIA CON GIORGIA MELONI";49512,00;1,00
"LAZIO 1";"LAZIO 1 - 03";"NOI CON L'ITALIA - UDC";4795,00;
"LAZIO 1";"LAZIO 1 - 03";"MOVIMENTO 5 STELLE";233831,00;3,00
"LAZIO 1";"LAZIO 1 - 03";"PARTITO DEMOCRATICO";105380,00;2,00
"LAZIO 1";"LAZIO 1 - 03";"+EUROPA";12938,00;
"LAZIO 1";"LAZIO 1 - 03";"ITALIA EUROPA INSIEME";2765,00;
"LAZIO 1";"LAZIO 1 - 03";"CIVICA POPOLARE LORENZIN";1643,00;
"LAZIO 1";"LAZIO 1 - 03";"LIBERI E UGUALI";18978,00;
"LAZIO 1";"LAZIO 1 - 03";"POTERE AL POPOLO!";7972,00;
"LAZIO 1";"LAZIO 1 - 03";"CASAPOUND ITALIA";11078,00;
"LAZIO 1";"LAZIO 1 - 03";"IL POPOLO DELLA FAMIGLIA";3137,00;
"LAZIO 1";"LAZIO 1 - 03";"ITALIA AGLI ITALIANI";2570,00;
"LAZIO 1";"LAZIO 1 - 03";"PARTITO COMUNISTA";3436,00;
"LAZIO 1";"LAZIO 1 - 03";"PER UNA SINISTRA RIVOLUZIONARIA";610,00;
"LAZIO 1";"LAZIO 1 - 03";"BLOCCO NAZIONALE PER LE LIBERTA'";376,00;
"LAZIO 2";"LAZIO 2 - 01";"LEGA";80858,00;1,00
"LAZIO 2";"LAZIO 2 - 01";"FORZA ITALIA";63131,00;1,00
"LAZIO 2";"LAZIO 2 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";35967,00;1,00
"LAZIO 2";"LAZIO 2 - 01";"NOI CON L'ITALIA - UDC";4655,00;
"LAZIO 2";"LAZIO 2 - 01";"MOVIMENTO 5 STELLE";154541,00;2,00
"LAZIO 2";"LAZIO 2 - 01";"PARTITO DEMOCRATICO";80678,00;1,00
"LAZIO 2";"LAZIO 2 - 01";"+EUROPA";9836,00;
"LAZIO 2";"LAZIO 2 - 01";"ITALIA EUROPA INSIEME";2150,00;
"LAZIO 2";"LAZIO 2 - 01";"CIVICA POPOLARE LORENZIN";2306,00;
"LAZIO 2";"LAZIO 2 - 01";"LIBERI E UGUALI";14461,00;
"LAZIO 2";"LAZIO 2 - 01";"POTERE AL POPOLO!";6237,00;
"LAZIO 2";"LAZIO 2 - 01";"CASAPOUND ITALIA";10251,00;
"LAZIO 2";"LAZIO 2 - 01";"IL POPOLO DELLA FAMIGLIA";2163,00;
"LAZIO 2";"LAZIO 2 - 01";"ITALIA AGLI ITALIANI";1481,00;
"LAZIO 2";"LAZIO 2 - 01";"PARTITO COMUNISTA";3027,00;
"LAZIO 2";"LAZIO 2 - 01";"PER UNA SINISTRA RIVOLUZIONARIA";506,00;
"LAZIO 2";"LAZIO 2 - 01";"LISTA DEL POPOLO PER LA COSTITUZIONE";425,00;
"LAZIO 2";"LAZIO 2 - 02";"LEGA";94702,00;2,00
"LAZIO 2";"LAZIO 2 - 02";"FORZA ITALIA";109871,00;1,00
"LAZIO 2";"LAZIO 2 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";34854,00;
"LAZIO 2";"LAZIO 2 - 02";"NOI CON L'ITALIA - UDC";7785,00;
"LAZIO 2";"LAZIO 2 - 02";"MOVIMENTO 5 STELLE";213226,00;3,00
"LAZIO 2";"LAZIO 2 - 02";"PARTITO DEMOCRATICO";81088,00;1,00
"LAZIO 2";"LAZIO 2 - 02";"+EUROPA";8132,00;
"LAZIO 2";"LAZIO 2 - 02";"ITALIA EUROPA INSIEME";3034,00;
"LAZIO 2";"LAZIO 2 - 02";"CIVICA POPOLARE LORENZIN";4616,00;
"LAZIO 2";"LAZIO 2 - 02";"LIBERI E UGUALI";15526,00;
"LAZIO 2";"LAZIO 2 - 02";"POTERE AL POPOLO!";4731,00;
"LAZIO 2";"LAZIO 2 - 02";"CASAPOUND ITALIA";8985,00;
"LAZIO 2";"LAZIO 2 - 02";"IL POPOLO DELLA FAMIGLIA";2025,00;
"LAZIO 2";"LAZIO 2 - 02";"ITALIA AGLI ITALIANI";2285,00;
"LAZIO 2";"LAZIO 2 - 02";"PARTITO COMUNISTA";2978,00;
"LAZIO 2";"LAZIO 2 - 02";"PER UNA SINISTRA RIVOLUZIONARIA";528,00;
"LAZIO 2";"LAZIO 2 - 02";"LISTA DEL POPOLO PER LA COSTITUZIONE";416,00;
"ABRUZZO";"ABRUZZO - 01";"LEGA";55588,00;1,00
"ABRUZZO";"ABRUZZO - 01";"FORZA ITALIA";64614,00;1,00
"ABRUZZO";"ABRUZZO - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";20680,00;
"ABRUZZO";"ABRUZZO - 01";"NOI CON L'ITALIA - UDC";8137,00;
"ABRUZZO";"ABRUZZO - 01";"MOVIMENTO 5 STELLE";183818,00;2,00
"ABRUZZO";"ABRUZZO - 01";"PARTITO DEMOCRATICO";62112,00;1,00
"ABRUZZO";"ABRUZZO - 01";"+EUROPA";7179,00;
"ABRUZZO";"ABRUZZO - 01";"ITALIA EUROPA INSIEME";1935,00;
"ABRUZZO";"ABRUZZO - 01";"CIVICA POPOLARE LORENZIN";4356,00;
"ABRUZZO";"ABRUZZO - 01";"LIBERI E UGUALI";11417,00;
"ABRUZZO";"ABRUZZO - 01";"POTERE AL POPOLO!";5965,00;
"ABRUZZO";"ABRUZZO - 01";"CASAPOUND ITALIA";4453,00;
"ABRUZZO";"ABRUZZO - 01";"IL POPOLO DELLA FAMIGLIA";2989,00;
"ABRUZZO";"ABRUZZO - 01";"ITALIA AGLI ITALIANI";2420,00;
"ABRUZZO";"ABRUZZO - 01";"PARTITO COMUNISTA";2597,00;
"ABRUZZO";"ABRUZZO - 01";"PARTITO VALORE UMANO";715,00;
"ABRUZZO";"ABRUZZO - 01";"10 VOLTE MEGLIO";802,00;
"ABRUZZO";"ABRUZZO - 02";"LEGA";49861,00;1,00
"ABRUZZO";"ABRUZZO - 02";"FORZA ITALIA";45813,00;
"ABRUZZO";"ABRUZZO - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";16925,00;
"ABRUZZO";"ABRUZZO - 02";"NOI CON L'ITALIA - UDC";8551,00;
"ABRUZZO";"ABRUZZO - 02";"MOVIMENTO 5 STELLE";119188,00;2,00
"ABRUZZO";"ABRUZZO - 02";"PARTITO DEMOCRATICO";46437,00;1,00
"ABRUZZO";"ABRUZZO - 02";"+EUROPA";7240,00;
"ABRUZZO";"ABRUZZO - 02";"ITALIA EUROPA INSIEME";1609,00;
"ABRUZZO";"ABRUZZO - 02";"CIVICA POPOLARE LORENZIN";2981,00;
"ABRUZZO";"ABRUZZO - 02";"LIBERI E UGUALI";8376,00;
"ABRUZZO";"ABRUZZO - 02";"POTERE AL POPOLO!";3723,00;
"ABRUZZO";"ABRUZZO - 02";"CASAPOUND ITALIA";3358,00;
"ABRUZZO";"ABRUZZO - 02";"IL POPOLO DELLA FAMIGLIA";1998,00;
"ABRUZZO";"ABRUZZO - 02";"ITALIA AGLI ITALIANI";1380,00;
"ABRUZZO";"ABRUZZO - 02";"PARTITO COMUNISTA";1955,00;
"ABRUZZO";"ABRUZZO - 02";"PARTITO VALORE UMANO";502,00;
"ABRUZZO";"ABRUZZO - 02";"10 VOLTE MEGLIO";514,00;
"MOLISE";"MOLISE - 01";"LEGA";15129,00;
"MOLISE";"MOLISE - 01";"FORZA ITALIA";28079,00;
"MOLISE";"MOLISE - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";5390,00;
"MOLISE";"MOLISE - 01";"NOI CON L'ITALIA - UDC";3383,00;
"MOLISE";"MOLISE - 01";"MOVIMENTO 5 STELLE";78093,00;
"MOLISE";"MOLISE - 01";"PARTITO DEMOCRATICO";26499,00;
"MOLISE";"MOLISE - 01";"+EUROPA";2103,00;
"MOLISE";"MOLISE - 01";"ITALIA EUROPA INSIEME";856,00;
"MOLISE";"MOLISE - 01";"CIVICA POPOLARE LORENZIN";2171,00;
"MOLISE";"MOLISE - 01";"LIBERI E UGUALI";6483,00;1,00
"MOLISE";"MOLISE - 01";"POTERE AL POPOLO!";1927,00;
"MOLISE";"MOLISE - 01";"CASAPOUND ITALIA";1450,00;
"MOLISE";"MOLISE - 01";"ITALIA AGLI ITALIANI";628,00;
"MOLISE";"MOLISE - 01";"PARTITO COMUNISTA";1042,00;
"MOLISE";"MOLISE - 01";"PARTITO VALORE UMANO";756,00;
"MOLISE";"MOLISE - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";99,00;
"MOLISE";"MOLISE - 01";"BLOCCO NAZIONALE PER LE LIBERTA'";241,00;
"CAMPANIA 1";"CAMPANIA 1 - 01";"LEGA";18467,00;1,00
"CAMPANIA 1";"CAMPANIA 1 - 01";"FORZA ITALIA";106555,00;2,00
"CAMPANIA 1";"CAMPANIA 1 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";12462,00;
"CAMPANIA 1";"CAMPANIA 1 - 01";"NOI CON L'ITALIA - UDC";9117,00;
"CAMPANIA 1";"CAMPANIA 1 - 01";"MOVIMENTO 5 STELLE";344316,00;2,00
"CAMPANIA 1";"CAMPANIA 1 - 01";"PARTITO DEMOCRATICO";60103,00;1,00
"CAMPANIA 1";"CAMPANIA 1 - 01";"+EUROPA";4888,00;
"CAMPANIA 1";"CAMPANIA 1 - 01";"ITALIA EUROPA INSIEME";2578,00;
"CAMPANIA 1";"CAMPANIA 1 - 01";"CIVICA POPOLARE LORENZIN";1776,00;
"CAMPANIA 1";"CAMPANIA 1 - 01";"LIBERI E UGUALI";19606,00;1,00
"CAMPANIA 1";"CAMPANIA 1 - 01";"POTERE AL POPOLO!";8490,00;
"CAMPANIA 1";"CAMPANIA 1 - 01";"CASAPOUND ITALIA";2488,00;
"CAMPANIA 1";"CAMPANIA 1 - 01";"IL POPOLO DELLA FAMIGLIA";3051,00;
"CAMPANIA 1";"CAMPANIA 1 - 01";"ITALIA AGLI ITALIANI";1576,00;
"CAMPANIA 1";"CAMPANIA 1 - 01";"PER UNA SINISTRA RIVOLUZIONARIA";769,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"LEGA";11183,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"FORZA ITALIA";70908,00;1,00
"CAMPANIA 1";"CAMPANIA 1 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";12115,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"NOI CON L'ITALIA - UDC";4143,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"MOVIMENTO 5 STELLE";232649,00;3,00
"CAMPANIA 1";"CAMPANIA 1 - 02";"PARTITO DEMOCRATICO";65073,00;1,00
"CAMPANIA 1";"CAMPANIA 1 - 02";"+EUROPA";8132,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"ITALIA EUROPA INSIEME";1584,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"CIVICA POPOLARE LORENZIN";1373,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"LIBERI E UGUALI";14648,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"POTERE AL POPOLO!";13061,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"CASAPOUND ITALIA";2019,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"IL POPOLO DELLA FAMIGLIA";2686,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"ITALIA AGLI ITALIANI";1151,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"PER UNA SINISTRA RIVOLUZIONARIA";619,00;
"CAMPANIA 1";"CAMPANIA 1 - 02";"PARTITO REPUBBLICANO ITALIANO - ALA";501,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"LEGA";14596,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"FORZA ITALIA";98309,00;1,00
"CAMPANIA 1";"CAMPANIA 1 - 03";"FRATELLI D'ITALIA CON GIORGIA MELONI";14914,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"NOI CON L'ITALIA - UDC";10545,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"MOVIMENTO 5 STELLE";251394,00;3,00
"CAMPANIA 1";"CAMPANIA 1 - 03";"PARTITO DEMOCRATICO";61420,00;1,00
"CAMPANIA 1";"CAMPANIA 1 - 03";"+EUROPA";5606,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"ITALIA EUROPA INSIEME";2259,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"CIVICA POPOLARE LORENZIN";4050,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"LIBERI E UGUALI";13227,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"POTERE AL POPOLO!";5825,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"CASAPOUND ITALIA";2316,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"IL POPOLO DELLA FAMIGLIA";2184,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"ITALIA AGLI ITALIANI";2523,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"PER UNA SINISTRA RIVOLUZIONARIA";652,00;
"CAMPANIA 1";"CAMPANIA 1 - 03";"PARTITO REPUBBLICANO ITALIANO - ALA";2307,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"LEGA";24741,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"FORZA ITALIA";72206,00;1,00
"CAMPANIA 2";"CAMPANIA 2 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";14578,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"NOI CON L'ITALIA - UDC";6273,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"MOVIMENTO 5 STELLE";178808,00;3,00
"CAMPANIA 2";"CAMPANIA 2 - 01";"PARTITO DEMOCRATICO";63224,00;1,00
"CAMPANIA 2";"CAMPANIA 2 - 01";"+EUROPA";5225,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"ITALIA EUROPA INSIEME";5273,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"CIVICA POPOLARE LORENZIN";10757,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"LIBERI E UGUALI";11271,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"POTERE AL POPOLO!";6149,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"CASAPOUND ITALIA";2265,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"IL POPOLO DELLA FAMIGLIA";1428,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"ITALIA AGLI ITALIANI";2180,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"PARTITO COMUNISTA";1481,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"PARTITO VALORE UMANO";975,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"10 VOLTE MEGLIO";912,00;
"CAMPANIA 2";"CAMPANIA 2 - 01";"LISTA DEL POPOLO PER LA COSTITUZIONE";386,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"LEGA";27112,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"FORZA ITALIA";89241,00;1,00
"CAMPANIA 2";"CAMPANIA 2 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";20464,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"NOI CON L'ITALIA - UDC";3705,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"MOVIMENTO 5 STELLE";242304,00;3,00
"CAMPANIA 2";"CAMPANIA 2 - 02";"PARTITO DEMOCRATICO";53311,00;1,00
"CAMPANIA 2";"CAMPANIA 2 - 02";"+EUROPA";6590,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"ITALIA EUROPA INSIEME";6623,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"CIVICA POPOLARE LORENZIN";3879,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"LIBERI E UGUALI";9264,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"POTERE AL POPOLO!";4868,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"CASAPOUND ITALIA";2303,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"IL POPOLO DELLA FAMIGLIA";2239,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"ITALIA AGLI ITALIANI";4315,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"PARTITO COMUNISTA";1210,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"PARTITO VALORE UMANO";682,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"PER UNA SINISTRA RIVOLUZIONARIA";643,00;
"CAMPANIA 2";"CAMPANIA 2 - 02";"LISTA DEL POPOLO PER LA COSTITUZIONE";467,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"LEGA";33333,00;1,00
"CAMPANIA 2";"CAMPANIA 2 - 03";"FORZA ITALIA";111844,00;2,00
"CAMPANIA 2";"CAMPANIA 2 - 03";"FRATELLI D'ITALIA CON GIORGIA MELONI";30264,00;1,00
"CAMPANIA 2";"CAMPANIA 2 - 03";"NOI CON L'ITALIA - UDC";16798,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"MOVIMENTO 5 STELLE";238034,00;3,00
"CAMPANIA 2";"CAMPANIA 2 - 03";"PARTITO DEMOCRATICO";93553,00;1,00
"CAMPANIA 2";"CAMPANIA 2 - 03";"+EUROPA";10488,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"ITALIA EUROPA INSIEME";7746,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"CIVICA POPOLARE LORENZIN";7693,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"LIBERI E UGUALI";20906,00;1,00
"CAMPANIA 2";"CAMPANIA 2 - 03";"POTERE AL POPOLO!";7119,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"CASAPOUND ITALIA";3003,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"IL POPOLO DELLA FAMIGLIA";4308,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"ITALIA AGLI ITALIANI";3519,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"PARTITO COMUNISTA";1883,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"PARTITO VALORE UMANO";925,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"10 VOLTE MEGLIO";585,00;
"CAMPANIA 2";"CAMPANIA 2 - 03";"PER UNA SINISTRA RIVOLUZIONARIA";730,00;
"PUGLIA";"PUGLIA - 01";"LEGA";28566,00;
"PUGLIA";"PUGLIA - 01";"FORZA ITALIA";102086,00;1,00
"PUGLIA";"PUGLIA - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";21449,00;
"PUGLIA";"PUGLIA - 01";"NOI CON L'ITALIA - UDC";13512,00;
"PUGLIA";"PUGLIA - 01";"MOVIMENTO 5 STELLE";262441,00;3,00
"PUGLIA";"PUGLIA - 01";"PARTITO DEMOCRATICO";76932,00;1,00
"PUGLIA";"PUGLIA - 01";"+EUROPA";8558,00;
"PUGLIA";"PUGLIA - 01";"ITALIA EUROPA INSIEME";3628,00;
"PUGLIA";"PUGLIA - 01";"CIVICA POPOLARE LORENZIN";2305,00;
"PUGLIA";"PUGLIA - 01";"LIBERI E UGUALI";25158,00;
"PUGLIA";"PUGLIA - 01";"POTERE AL POPOLO!";5946,00;
"PUGLIA";"PUGLIA - 01";"CASAPOUND ITALIA";4009,00;
"PUGLIA";"PUGLIA - 01";"IL POPOLO DELLA FAMIGLIA";3545,00;
"PUGLIA";"PUGLIA - 01";"PARTITO COMUNISTA";1718,00;
"PUGLIA";"PUGLIA - 01";"10 VOLTE MEGLIO";946,00;
"PUGLIA";"PUGLIA - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";613,00;
"PUGLIA";"PUGLIA - 02";"LEGA";39089,00;1,00
"PUGLIA";"PUGLIA - 02";"FORZA ITALIA";98032,00;2,00
"PUGLIA";"PUGLIA - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";24062,00;1,00
"PUGLIA";"PUGLIA - 02";"NOI CON L'ITALIA - UDC";30609,00;
"PUGLIA";"PUGLIA - 02";"MOVIMENTO 5 STELLE";238649,00;3,00
"PUGLIA";"PUGLIA - 02";"PARTITO DEMOCRATICO";78586,00;1,00
"PUGLIA";"PUGLIA - 02";"+EUROPA";8847,00;
"PUGLIA";"PUGLIA - 02";"ITALIA EUROPA INSIEME";3456,00;
"PUGLIA";"PUGLIA - 02";"CIVICA POPOLARE LORENZIN";1746,00;
"PUGLIA";"PUGLIA - 02";"LIBERI E UGUALI";22495,00;1,00
"PUGLIA";"PUGLIA - 02";"POTERE AL POPOLO!";6371,00;
"PUGLIA";"PUGLIA - 02";"CASAPOUND ITALIA";6515,00;
"PUGLIA";"PUGLIA - 02";"IL POPOLO DELLA FAMIGLIA";2182,00;
"PUGLIA";"PUGLIA - 02";"ITALIA AGLI ITALIANI";1706,00;
"PUGLIA";"PUGLIA - 02";"PARTITO COMUNISTA";2317,00;
"PUGLIA";"PUGLIA - 02";"PARTITO VALORE UMANO";901,00;
"PUGLIA";"PUGLIA - 02";"10 VOLTE MEGLIO";704,00;
"PUGLIA";"PUGLIA - 02";"PARTITO REPUBBLICANO ITALIANO - ALA";493,00;
"PUGLIA";"PUGLIA - 03";"LEGA";34905,00;1,00
"PUGLIA";"PUGLIA - 03";"FORZA ITALIA";113753,00;2,00
"PUGLIA";"PUGLIA - 03";"FRATELLI D'ITALIA CON GIORGIA MELONI";20470,00;
"PUGLIA";"PUGLIA - 03";"NOI CON L'ITALIA - UDC";16670,00;
"PUGLIA";"PUGLIA - 03";"MOVIMENTO 5 STELLE";257866,00;4,00
"PUGLIA";"PUGLIA - 03";"PARTITO DEMOCRATICO";76695,00;1,00
"PUGLIA";"PUGLIA - 03";"+EUROPA";7730,00;
"PUGLIA";"PUGLIA - 03";"ITALIA EUROPA INSIEME";2898,00;
"PUGLIA";"PUGLIA - 03";"CIVICA POPOLARE LORENZIN";1746,00;
"PUGLIA";"PUGLIA - 03";"LIBERI E UGUALI";17119,00;
"PUGLIA";"PUGLIA - 03";"POTERE AL POPOLO!";4947,00;
"PUGLIA";"PUGLIA - 03";"CASAPOUND ITALIA";3104,00;
"PUGLIA";"PUGLIA - 03";"IL POPOLO DELLA FAMIGLIA";2431,00;
"PUGLIA";"PUGLIA - 03";"ITALIA AGLI ITALIANI";2937,00;
"PUGLIA";"PUGLIA - 03";"PARTITO COMUNISTA";2024,00;
"PUGLIA";"PUGLIA - 03";"PARTITO VALORE UMANO";824,00;
"PUGLIA";"PUGLIA - 03";"10 VOLTE MEGLIO";877,00;
"PUGLIA";"PUGLIA - 03";"PARTITO REPUBBLICANO ITALIANO - ALA";1281,00;
"PUGLIA";"PUGLIA - 04";"LEGA";32565,00;
"PUGLIA";"PUGLIA - 04";"FORZA ITALIA";95530,00;1,00
"PUGLIA";"PUGLIA - 04";"FRATELLI D'ITALIA CON GIORGIA MELONI";16117,00;
"PUGLIA";"PUGLIA - 04";"NOI CON L'ITALIA - UDC";15235,00;
"PUGLIA";"PUGLIA - 04";"MOVIMENTO 5 STELLE";222624,00;3,00
"PUGLIA";"PUGLIA - 04";"PARTITO DEMOCRATICO";66559,00;1,00
"PUGLIA";"PUGLIA - 04";"+EUROPA";4428,00;
"PUGLIA";"PUGLIA - 04";"ITALIA EUROPA INSIEME";2015,00;
"PUGLIA";"PUGLIA - 04";"CIVICA POPOLARE LORENZIN";5535,00;
"PUGLIA";"PUGLIA - 04";"LIBERI E UGUALI";11821,00;
"PUGLIA";"PUGLIA - 04";"POTERE AL POPOLO!";4015,00;
"PUGLIA";"PUGLIA - 04";"CASAPOUND ITALIA";2712,00;
"PUGLIA";"PUGLIA - 04";"IL POPOLO DELLA FAMIGLIA";3954,00;
"PUGLIA";"PUGLIA - 04";"ITALIA AGLI ITALIANI";2322,00;
"PUGLIA";"PUGLIA - 04";"PARTITO VALORE UMANO";1362,00;
"PUGLIA";"PUGLIA - 04";"10 VOLTE MEGLIO";546,00;
"PUGLIA";"PUGLIA - 04";"PARTITO REPUBBLICANO ITALIANO - ALA";371,00;
"BASILICATA";"BASILICATA - 01";"LEGA";19704,00;
"BASILICATA";"BASILICATA - 01";"FORZA ITALIA";38906,00;1,00
"BASILICATA";"BASILICATA - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";11587,00;
"BASILICATA";"BASILICATA - 01";"NOI CON L'ITALIA - UDC";9468,00;
"BASILICATA";"BASILICATA - 01";"MOVIMENTO 5 STELLE";139158,00;2,00
"BASILICATA";"BASILICATA - 01";"PARTITO DEMOCRATICO";50653,00;1,00
"BASILICATA";"BASILICATA - 01";"+EUROPA";3783,00;
"BASILICATA";"BASILICATA - 01";"ITALIA EUROPA INSIEME";3264,00;
"BASILICATA";"BASILICATA - 01";"CIVICA POPOLARE LORENZIN";3847,00;
"BASILICATA";"BASILICATA - 01";"LIBERI E UGUALI";20219,00;
"BASILICATA";"BASILICATA - 01";"POTERE AL POPOLO!";4027,00;
"BASILICATA";"BASILICATA - 01";"CASAPOUND ITALIA";2051,00;
"BASILICATA";"BASILICATA - 01";"IL POPOLO DELLA FAMIGLIA";1875,00;
"BASILICATA";"BASILICATA - 01";"PARTITO COMUNISTA";1511,00;
"BASILICATA";"BASILICATA - 01";"PARTITO VALORE UMANO";803,00;
"BASILICATA";"BASILICATA - 01";"10 VOLTE MEGLIO";738,00;
"BASILICATA";"BASILICATA - 01";"PER UNA SINISTRA RIVOLUZIONARIA";649,00;
"BASILICATA";"BASILICATA - 01";"LISTA DEL POPOLO PER LA COSTITUZIONE";685,00;
"BASILICATA";"BASILICATA - 01";"BLOCCO NAZIONALE PER LE LIBERTA'";791,00;
"CALABRIA";"CALABRIA - 01";"LEGA";23683,00;1,00
"CALABRIA";"CALABRIA - 01";"FORZA ITALIA";80101,00;1,00
"CALABRIA";"CALABRIA - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";18628,00;
"CALABRIA";"CALABRIA - 01";"NOI CON L'ITALIA - UDC";6981,00;
"CALABRIA";"CALABRIA - 01";"MOVIMENTO 5 STELLE";230092,00;3,00
"CALABRIA";"CALABRIA - 01";"PARTITO DEMOCRATICO";60724,00;1,00
"CALABRIA";"CALABRIA - 01";"+EUROPA";4190,00;
"CALABRIA";"CALABRIA - 01";"ITALIA EUROPA INSIEME";3754,00;
"CALABRIA";"CALABRIA - 01";"CIVICA POPOLARE LORENZIN";3177,00;
